"data","memoria","cpu"
"01/20/2021 11:22:22","74.7","10.2"
"01/20/2021 11:22:52","75.3","23.5"
"01/20/2021 11:23:22","75.6","27.3"
"01/20/2021 11:23:52","76.6","18.0"
"01/20/2021 11:24:22","76.4","13.4"
"01/20/2021 11:24:52","76.6","17.2"
"01/20/2021 11:25:22","75.9","14.6"
"01/20/2021 11:25:52","77.6","18.3"
"01/20/2021 11:26:22","77.0","17.7"
"01/20/2021 11:26:52","76.1","10.0"
"01/20/2021 11:27:22","76.2","4.8"
"01/20/2021 11:27:52","76.0","6.8"
"01/20/2021 11:28:22","76.0","3.7"
"01/20/2021 11:28:52","76.1","7.1"
"01/20/2021 11:29:22","76.2","6.1"
"01/20/2021 11:29:52","76.1","7.4"
"01/20/2021 11:30:22","76.1","4.7"
"01/20/2021 11:30:52","77.2","13.2"
"01/20/2021 11:31:22","76.9","5.5"
"01/20/2021 11:31:52","76.8","6.1"
"01/20/2021 11:32:22","76.9","5.6"
"01/20/2021 11:32:52","76.8","7.6"
"01/20/2021 11:33:22","76.8","4.9"
"01/20/2021 11:33:52","76.8","7.6"
"01/20/2021 11:34:22","76.7","4.7"
"01/20/2021 11:34:52","77.1","11.5"
"01/20/2021 11:35:22","77.0","8.2"
"01/20/2021 11:35:52","77.4","7.8"
"01/20/2021 11:36:22","76.9","4.9"
"01/20/2021 11:36:52","77.0","6.6"
"01/20/2021 11:37:22","76.9","5.1"
"01/20/2021 11:37:52","78.0","7.6"
"01/20/2021 11:38:22","76.8","6.0"
"01/20/2021 11:38:52","76.9","4.8"
"01/20/2021 11:39:22","76.8","7.6"
"01/20/2021 11:39:53","76.9","5.0"
"01/20/2021 11:40:23","76.9","7.9"
"01/20/2021 11:40:53","77.2","6.3"
"01/20/2021 11:41:23","77.4","12.9"
"01/20/2021 11:41:53","77.3","9.1"
"01/20/2021 11:42:23","77.4","15.5"
"01/20/2021 11:42:53","77.1","12.9"
"01/20/2021 11:43:23","77.2","15.9"
"01/20/2021 11:43:53","77.2","11.5"
"01/20/2021 11:44:23","77.4","14.3"
"01/20/2021 11:44:53","77.2","14.3"
"01/20/2021 11:45:23","77.3","19.5"
"01/20/2021 11:45:53","77.7","17.6"
"01/20/2021 11:46:23","77.2","13.6"
"01/20/2021 11:46:53","77.2","10.6"
